relative_path,manual_chapter,type,pages,source_word_count,integrated_word_count,text_path
Heidi Priebe/Needs and Feelings as an Avoidant - Heidi Priebe.docx,"Evitacion, desorganizacion y miedo a la intimidad",docx,0,9597,4413,/Users/pedro/AAQ/output/original_sources/extracted_text/Heidi_Priebe_Needs_and_Feelings_as_an_Avoidant_-_Heidi_Priebe.docx.txt
How Attachment Works - Amir Levine - Transcript.pdf,Fundamentos del apego adulto,pdf,5,2671,281,/Users/pedro/AAQ/output/original_sources/extracted_text/How_Attachment_Works_-_Amir_Levine_-_Transcript.pdf.txt
How To Stop Feeling Rejected and Start Feeling Secure - Amir Levine - Transcript.pdf,"Sistema de seguridad, protesta y activacion",pdf,5,2609,0,/Users/pedro/AAQ/output/original_sources/extracted_text/How_To_Stop_Feeling_Rejected_and_Start_Feeling_Secure_-_Amir_Levine_-_Transcript.pdf.txt
How to Move On From Your Ex - Jay Shetty - Transcript.pdf,"Discernimiento, dating, ruptura y eleccion de pareja",pdf,2,1202,0,/Users/pedro/AAQ/output/original_sources/extracted_text/How_to_Move_On_From_Your_Ex_-_Jay_Shetty_-_Transcript.pdf.txt
How to NOT get emotionally invested too quickly - nathalie - Transcript espanol-ingles.pdf,"Sistema de seguridad, protesta y activacion",pdf,4,2242,353,/Users/pedro/AAQ/output/original_sources/extracted_text/How_to_NOT_get_emotionally_invested_too_quickly_-_nathalie_-_Transcript_espanol-ingles.pdf.txt
How to Transform Your Relationship - Transcript.pdf,"Inner work, identidad, heridas y agencia",pdf,2,1091,0,/Users/pedro/AAQ/output/original_sources/extracted_text/How_to_Transform_Your_Relationship_-_Transcript.pdf.txt
"I Don't Want to Have to Ask, I Want Them to Know - Transcript.pdf","Comunicacion, necesidades, limites y compasion",pdf,3,1225,0,/Users/pedro/AAQ/output/original_sources/extracted_text/I_Don_t_Want_to_Have_to_Ask_I_Want_Them_to_Know_-_Transcript.pdf.txt
Infants Ainsworth-Patterns-of-Attachment.pdf,Fundamentos del apego adulto,pdf,148,67022,12114,/Users/pedro/AAQ/output/original_sources/extracted_text/Infants_Ainsworth-Patterns-of-Attachment.pdf.txt
Inner Work/1-The-Inner-Work.pdf,"Inner work, identidad, heridas y agencia",pdf,5,1550,690,/Users/pedro/AAQ/output/original_sources/extracted_text/Inner_Work_1-The-Inner-Work.pdf.txt
Inner Work/2-The-Inner-Work-of-Relationships.pdf,"Inner work, identidad, heridas y agencia",pdf,10,3432,1542,/Users/pedro/AAQ/output/original_sources/extracted_text/Inner_Work_2-The-Inner-Work-of-Relationships.pdf.txt
Inner Work/Inner-Work-Base-de-Conocimiento.pdf,"Inner work, identidad, heridas y agencia",pdf,20,4725,2321,/Users/pedro/AAQ/output/original_sources/extracted_text/Inner_Work_Inner-Work-Base-de-Conocimiento.pdf.txt
Inner Work/Inner_Work_Base_Conocimiento.pdf,"Inner work, identidad, heridas y agencia",pdf,34,15207,3878,/Users/pedro/AAQ/output/original_sources/extracted_text/Inner_Work_Inner_Work_Base_Conocimiento.pdf.txt
Inner Work/Inner_Work_Relationships_8Heridas_Plantilla.pdf,"Inner work, identidad, heridas y agencia",pdf,7,3353,519,/Users/pedro/AAQ/output/original_sources/extracted_text/Inner_Work_Inner_Work_Relationships_8Heridas_Plantilla.pdf.txt
Inner Work/Inner_Work_Relationships_Base_Conocimiento.pdf,"Inner work, identidad, heridas y agencia",pdf,26,9424,2414,/Users/pedro/AAQ/output/original_sources/extracted_text/Inner_Work_Inner_Work_Relationships_Base_Conocimiento.pdf.txt
Julie Menanno/Secure Love Book Club Ch1 - Julie Menanno.docx,"Sistema de seguridad, protesta y activacion",docx,0,15562,7118,/Users/pedro/AAQ/output/original_sources/extracted_text/Julie_Menanno_Secure_Love_Book_Club_Ch1_-_Julie_Menanno.docx.txt
Julie Menanno/Secure Love Book Club Ch2 - Julie Menanno.docx,"Sistema de seguridad, protesta y activacion",docx,0,13434,6173,/Users/pedro/AAQ/output/original_sources/extracted_text/Julie_Menanno_Secure_Love_Book_Club_Ch2_-_Julie_Menanno.docx.txt
Julie Menanno/Secure Love Book Club Ch3 - Julie Menanno.docx,"Sistema de seguridad, protesta y activacion",docx,0,26114,11856,/Users/pedro/AAQ/output/original_sources/extracted_text/Julie_Menanno_Secure_Love_Book_Club_Ch3_-_Julie_Menanno.docx.txt
Julie Menanno/Secure Love Book Club Ch4 - Julie Menanno.docx,"Sistema de seguridad, protesta y activacion",docx,0,20510,9381,/Users/pedro/AAQ/output/original_sources/extracted_text/Julie_Menanno_Secure_Love_Book_Club_Ch4_-_Julie_Menanno.docx.txt
Julie Menanno/Secure Love Book Club Ch5 Parte 1 - Julie Menanno.docx,"Sistema de seguridad, protesta y activacion",docx,0,20014,9085,/Users/pedro/AAQ/output/original_sources/extracted_text/Julie_Menanno_Secure_Love_Book_Club_Ch5_Parte_1_-_Julie_Menanno.docx.txt
Julie Menanno/Secure Love Book Club Ch5 Parte 2 - Julie Menanno.docx,"Sistema de seguridad, protesta y activacion",docx,0,13698,6284,/Users/pedro/AAQ/output/original_sources/extracted_text/Julie_Menanno_Secure_Love_Book_Club_Ch5_Parte_2_-_Julie_Menanno.docx.txt
Julie Menanno/Secure Love Book Club Ch6 - Julie Menanno.docx,"Sistema de seguridad, protesta y activacion",docx,0,17232,7864,/Users/pedro/AAQ/output/original_sources/extracted_text/Julie_Menanno_Secure_Love_Book_Club_Ch6_-_Julie_Menanno.docx.txt
Julie Menanno/Secure Love Book Club Ch7 - Julie Menanno.docx,"Sistema de seguridad, protesta y activacion",docx,0,18449,8384,/Users/pedro/AAQ/output/original_sources/extracted_text/Julie_Menanno_Secure_Love_Book_Club_Ch7_-_Julie_Menanno.docx.txt
Julie Menanno/Secure Love Book Club Ch8 - Julie Menanno.docx,"Sistema de seguridad, protesta y activacion",docx,0,18898,8584,/Users/pedro/AAQ/output/original_sources/extracted_text/Julie_Menanno_Secure_Love_Book_Club_Ch8_-_Julie_Menanno.docx.txt
Julie Menanno/Secure Love Book Club Ch9 - Julie Menanno.docx,"Sistema de seguridad, protesta y activacion",docx,0,17882,8218,/Users/pedro/AAQ/output/original_sources/extracted_text/Julie_Menanno_Secure_Love_Book_Club_Ch9_-_Julie_Menanno.docx.txt
MINDSET when DATING - nathalie - Transcript.pdf,"Discernimiento, dating, ruptura y eleccion de pareja",pdf,2,1141,0,/Users/pedro/AAQ/output/original_sources/extracted_text/MINDSET_when_DATING_-_nathalie_-_Transcript.pdf.txt
Old Templates/LONG TEMPLATES .pdf,"Herramientas, ejercicios y plantillas no meditativas",pdf,65,20473,6613,/Users/pedro/AAQ/output/original_sources/extracted_text/Old_Templates_LONG_TEMPLATES_.pdf.txt
Old Templates/LONG_ATRACCION_Polaridad_masculino_femenina.docx,"Polaridad, atraccion y masculino/femenino",docx,0,1372,637,/Users/pedro/AAQ/output/original_sources/extracted_text/Old_Templates_LONG_ATRACCION_Polaridad_masculino_femenina.docx.txt
Old Templates/LONG_IDENTIDAD_Cambio_e_identidad.docx,"Inner work, identidad, heridas y agencia",docx,0,1173,575,/Users/pedro/AAQ/output/original_sources/extracted_text/Old_Templates_LONG_IDENTIDAD_Cambio_e_identidad.docx.txt
Old Templates/LONG_RELACION_Dinamicas_de_pareja.docx,"Herramientas, ejercicios y plantillas no meditativas",docx,0,1267,584,/Users/pedro/AAQ/output/original_sources/extracted_text/Old_Templates_LONG_RELACION_Dinamicas_de_pareja.docx.txt
Old Templates/SHORT TEMPLATES (1).pdf,"Herramientas, ejercicios y plantillas no meditativas",pdf,22,6550,2983,/Users/pedro/AAQ/output/original_sources/extracted_text/Old_Templates_SHORT_TEMPLATES_1_.pdf.txt
Old Templates/SHORT_ATRACCION_Polaridad_masculino_femenina.docx,"Polaridad, atraccion y masculino/femenino",docx,0,1058,394,/Users/pedro/AAQ/output/original_sources/extracted_text/Old_Templates_SHORT_ATRACCION_Polaridad_masculino_femenina.docx.txt
Old Templates/SHORT_IDENTIDAD_Cambio_e_identidad.docx,"Inner work, identidad, heridas y agencia",docx,0,925,549,/Users/pedro/AAQ/output/original_sources/extracted_text/Old_Templates_SHORT_IDENTIDAD_Cambio_e_identidad.docx.txt
Old Templates/SHORT_RELACION_Dinamicas_de_pareja.docx,"Herramientas, ejercicios y plantillas no meditativas",docx,0,913,545,/Users/pedro/AAQ/output/original_sources/extracted_text/Old_Templates_SHORT_RELACION_Dinamicas_de_pareja.docx.txt
Origin Attachments.pdf,Fundamentos del apego adulto,pdf,17,17468,0,/Users/pedro/AAQ/output/original_sources/extracted_text/Origin_Attachments.pdf.txt
Papers/HandbookofEmotionRegulation-SecondEdition.pdf,Regulacion emocional y fundamentos cuerpo-mente,pdf,14,434,31,/Users/pedro/AAQ/output/original_sources/extracted_text/Papers_HandbookofEmotionRegulation-SecondEdition.pdf.txt
Papers/influencers_apego.pdf,Regulacion emocional y fundamentos cuerpo-mente,pdf,3,899,545,/Users/pedro/AAQ/output/original_sources/extracted_text/Papers_influencers_apego.pdf.txt
Thais Gibson/Wounded Bird Syndrome - Thais Gibson.docx,"Comunicacion, necesidades, limites y compasion",docx,0,5925,2735,/Users/pedro/AAQ/output/original_sources/extracted_text/Thais_Gibson_Wounded_Bird_Syndrome_-_Thais_Gibson.docx.txt
To Anyone Going Through a Breakup - Mel Robbins - Transcript.pdf,"Discernimiento, dating, ruptura y eleccion de pareja",pdf,3,1636,0,/Users/pedro/AAQ/output/original_sources/extracted_text/To_Anyone_Going_Through_a_Breakup_-_Mel_Robbins_-_Transcript.pdf.txt
Why You're Struggling to Find Love - Transcript.pdf,"Discernimiento, dating, ruptura y eleccion de pareja",pdf,4,2039,225,/Users/pedro/AAQ/output/original_sources/extracted_text/Why_You_re_Struggling_to_Find_Love_-_Transcript.pdf.txt
